"","attributes","articleID","record"
"1","TI","1","Psychometric properties of a Korean measure of person-directed care in nursing homes."
"2","PS","1","Publication Status: Fully Published"
"3","AU","1","Choi, Jae-Sung"
"4","AU","1","Lee, Minhong"
"5","AF","1","Choi, Jae-Sung, Department of Social Welfare, Yonsei University, Seoul, South Korea"
"6","AF","1","Lee, Minhong, minhongsw@gmail.com, Department of Social Welfare, Dong-Eui University, Busan, South Korea"
"7","AD","1","Lee, Minhong, Department of Social Welfare, Dong-Eui University, 176 Eomgwang Rd., Busan Jin-Gu, Busan, South Korea, 614-714, minhongsw@gmail.com"
"8","SO","1","Research on Social Work Practice"
"9","VI","1","24"
"10","IP","1","6"
"11","SD","1","Nov, 2014"
"12","YR","1","2014"
"13","PM","1","Nov, 2014"
"14","PG","1","676-684"
"15","PC","1","9"
"16","SP","1","676"
"17","PU","1","US : Sage Publications"
"18","PN","1","9"
"19","SN","1","1049-7315, Print"
"20","SN","1","1552-7581, Electronic"
"21","DO","1","10.1177/1049731513509897"
"22","LA","1","English"
"23","KP","1","person-directed care"
"24","KP","1","psychometric properties"
"25","KP","1","nursing home"
"26","KP","1","assessment tool"
"27","KP","1","South Korea"
"28","SU","1","Measurement; Nursing Homes; Psychometrics; Test Reliability; Test Validity"
"29","AB","1","Objective: This study examined the validity and reliability of a person-directed care (PDC) measure for nursing homes in Korea. Method: Managerial personnel from 223 nursing homes in 2010 and 239 in 2012 were surveyed. Results: Item analysis and exploratory factor analysis for the first sample generated a 33-item PDC measure with eight factors. Item analysis for the second sample resulted in 32 items. Confirmatory factor analysis verified the acceptability of the revised instrument with seven factors of 30 items (χ2 = 650.96, root mean square error of approximation = .059, nonnormed fit index = .88, comparative fit index = .90, and incremental fit index = .90). The overall scale had high internal consistency and reliability (α = .925). Conclusion: Findings from this study confirm the validity of the revised Korean PDC scale. (PsycINFO Database Record (c) 2014 APA, all rights reserved) (journal abstract)"
"30","MJ","1","Measurement; Nursing Homes; Psychometrics; Test Reliability; Test Validity"
"31","CL","1","Clinical Psychological Testing (2224)"
"32","CL","1","Nursing Homes & Residential Care (3377)"
"33","PO","1","Human (10)"
"34","PO","1","Male (30)"
"35","PO","1","Female (40)"
"36","LO","1","South Korea"
"37","AG","1","Adulthood (18 yrs & older) (300)"
"38","AG","1","Young Adulthood (18-29 yrs) (320)"
"39","AG","1","Thirties (30-39 yrs) (340)"
"40","AG","1","Middle Age (40-64 yrs) (360)"
"41","AG","1","Aged (65 yrs & older) (380)"
"42","TM","1","Person-Directed Care Measure-Korean Version"
"43","MD","1","Empirical Study"
"44","MD","1","Quantitative Study"
"45","PT","1","Journal"
"46","PT","1","Peer Reviewed Journal"
"47","AT","1","Journal Article"
"48","MT","1","Electronic"
"49","RD","1","20141208"
"50","AN","1","2014-43498-004"
"51","CP","1","The Author(s). 2013"
"52","UR","1","http://proxy.lib.umich.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-43498-004&site=ehost-live&scope=site"
"53","TI","2","Validating a measure of organizational cultural competence in voluntary child welfare."
"54","PS","2","Publication Status: Fully Published"
"55","AU","2","Schudrich, Wendy Zeitlin"
"56","AF","2","Schudrich, Wendy Zeitlin, schudric@yu.edu, Wurzweiler School of Social Work, Yeshiva University, New York, NY, US"
"57","AD","2","Schudrich, Wendy Zeitlin, Wurzweiler School of Social Work, Yeshiva University, 2495 Amsterdam Avenue, New York, NY, US, 10033, schudric@yu.edu"
"58","SO","2","Research on Social Work Practice"
"59","VI","2","24"
"60","IP","2","6"
"61","SD","2","Nov, 2014"
"62","YR","2","2014"
"63","PM","2","Nov, 2014"
"64","PG","2","685-694"
"65","PC","2","10"
"66","SP","2","685"
"67","PU","2","US : Sage Publications"
"68","PN","2","10"
"69","SN","2","1049-7315, Print"
"70","SN","2","1552-7581, Electronic"
"71","DO","2","10.1177/1049731513516513"
"72","LA","2","English"
"73","KP","2","organizational cultural competence"
"74","KP","2","validation"
"75","KP","2","CFA"
"76","KP","2","child welfare"
"77","SU","2","Child Welfare; Competence; Psychometrics; Test Reliability; Test Validity"
"78","AB","2","Objective: This research examines the psychometric properties of two subscales of the Association of University Centers on Disabilities (AUCD) Multicultural Council’s Organizational Cultural Competence Assessment, which together have been used to assess organizational cultural competence in child welfare agencies. Method: Confirmatory factor analysis was utilized to analyze data on 478 child welfare workers. Results: Six models were generated based upon the theoretical literature. The best-fitting model was unidimensional (χ² = 13.18, df = 9, p = .15; root mean square error of approximation = 0.03; comparative fit index = 0.99; Tucker–Lewis Index = 0.99). Discussion and applications to social work: Factors that are more proximal to client interaction were stronger indicators of organizational cultural competence than those that were more distal. Those wishing to examine organizational cultural competence in voluntary child welfare settings should consider using the validated form of the AUCD instrument. (PsycINFO Database Record (c) 2014 APA, all rights reserved) (journal abstract)"
"79","MJ","2","Child Welfare; Competence; Psychometrics; Test Reliability; Test Validity"
"80","CL","2","Clinical Psychological Testing (2224)"
"81","CL","2","Community & Social Services (3373)"
"82","PO","2","Human (10)"
"83","PO","2","Male (30)"
"84","PO","2","Female (40)"
"85","LO","2","US"
"86","AG","2","Adulthood (18 yrs & older) (300)"
"87","TM","2","Organizational-Level Measures of Cultural Competence"
"88","GR","2","Sponsor: New York Foundling, Vincent J. Fontana Center for Child Protection, US; Recipients: No recipient indicated"
"89","MD","2","Empirical Study"
"90","MD","2","Quantitative Study"
"91","PT","2","Journal"
"92","PT","2","Peer Reviewed Journal"
"93","AT","2","Journal Article"
"94","MT","2","Electronic"
"95","RD","2","20141208"
"96","AN","2","2014-43498-005"
"97","CP","2","The Author(s). 2013"
"98","UR","2","http://proxy.lib.umich.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-43498-005&site=ehost-live&scope=site"
"99","TI","3","A review of 'wandering' instruments for people with dementia who get lost."
"100","PS","3","Publication Status: Fully Published"
"101","AU","3","White, Eleanor Bantry"
"102","AU","3","Montgomery, Paul"
"103","AF","3","White, Eleanor Bantry, e.bantrywhite@ucc.ie, School of Applied Social Studies, University College Cork, Cork, Ireland"
"104","AF","3","Montgomery, Paul, Centre for Evidence-Based Intervention, University of Oxford, Oxford, United Kingdom"
"105","AD","3","White, Eleanor Bantry, School of Applied Social Studies, University College Cork, Cork, Ireland, e.bantrywhite@ucc.ie"
"106","SO","3","Research on Social Work Practice"
"107","VI","3","24"
"108","IP","3","4"
"109","SD","3","Jul, 2014"
"110","YR","3","2014"
"111","PM","3","Jul, 2014"
"112","PG","3","400-413"
"113","PC","3","14"
"114","SP","3","400"
"115","PU","3","US : Sage Publications"
"116","PN","3","14"
"117","SN","3","1049-7315, Print"
"118","SN","3","1552-7581, Electronic"
"119","DO","3","10.1177/1049731513514116"
"120","LA","3","English"
"121","KP","3","wandering behavior instruments"
"122","KP","3","dementia"
"123","KP","3","at risk populations"
"124","KP","3","psychometrics"
"125","KP","3","test reliability"
"126","KP","3","test validity"
"127","SU","3","Dementia; Psychometrics; Test Reliability; Test Validity; Wandering Behavior"
"128","AB","3","Objectives: This study is the first review to be conducted to evaluate measures of wandering behavior for identifying people with dementia at risk of getting lost. Method: Drawing upon systematic review search strategies, the relevant literature was reviewed for wandering instruments using MEDLINE, Embase, PsycINFO, and Cumulative Index to Nursing and Allied Health Literature. The psychometric properties of these were evaluated with reference to establishing the risk of getting lost. Results: The search yielded 34 instruments. Of these, one wandering-specific measure and four measures of behavioral change in dementia met inclusion criteria. The ability of these to confidently evaluate the risk of getting lost remains uncertain. Conclusion: Further research is required to more fully evaluate the psychometric properties of the retrieved instruments. This process is made complex by difficulties in defining wandering and getting lost and methodologically, by the absence of a criterion reference. Methodological developments are required to enhance assessment-focused reviews in the psychosocial intervention field. (PsycINFO Database Record (c) 2014 APA, all rights reserved) (journal abstract)"
"129","MJ","3","Dementia; Psychometrics; Test Reliability; Test Validity; Wandering Behavior"
"130","MN","3","At Risk Populations; Measurement"
"131","CL","3","Clinical Psychological Testing (2224)"
"132","CL","3","Neurological Disorders & Brain Damage (3297)"
"133","PO","3","Human (10)"
"134","TM","3","Revised Algase Wandering Scale-Community Version"
"135","TM","3","Manchester and Oxford Universities Scale for the Psychopathological Assessment of Dementia"
"136","TM","3","Sandoz Clinical Assessment–Geriatric"
"137","TM","3","Behavioral and Emotional Activities Manifested in Dementia Measure"
"138","TM","3","Behavioral Assessment in Alzheimer’s Disease"
"139","TM","3","California Dementia Behavior Questionnaire"
"140","TM","3","Cambridge Examination for Mental Disorders of the Elderly-Interview Section C"
"141","TM","3","Caretaker Obstreperous-Behavior Rating Assessment"
"142","TM","3","Dewing Wandering Risk Assessment Tool"
"143","TM","3","Disruptive Behavior Rating Scales"
"144","TM","3","Dysfunctional Behavior Rating Instrument"
"145","TM","3","Gottfries–Brane–Steen Scale"
"146","TM","3","Kingston Dementia Rating Scale"
"147","TM","3","NOSGER"
"148","TM","3","Neuropsychiatric Inventory-Brief Version"
"149","TM","3","Neuropsychiatric Inventory-Clinician Version"
"150","TM","3","MPI-NH Nursing Home Version"
"151","TM","3","Problem Behavior Inventory"
"152","TM","3","Revised Memory and Behavior Problems Checklist"
"153","TM","3","CERAD (Consortium to Establish a Registry for Alzheimer's Disease) Assessment Battery"
"154","TM","3","CERAD Behavior Rating Scale for Dementia DOI: 10.1037/t05388-000"
"155","TM","3","Algase Wandering Scale DOI: 10.1037/t25009-000"
"156","TM","3","Dementia Behavior Disturbance Scale DOI: 10.1037/t06575-000"
"157","TM","3","Disruptive Behavior Scale DOI: 10.1037/t21179-000"
"158","TM","3","Neurobehavioral Rating Scale DOI: 10.1037/t29145-000"
"159","TM","3","Brief Psychiatric Rating Scale DOI: 10.1037/t01554-000"
"160","TM","3","Alzheimer's Disease Assessment Scale DOI: 10.1037/t04131-000"
"161","MD","3","Literature Review"
"162","MD","3","Systematic Review"
"163","PT","3","Journal"
"164","PT","3","Peer Reviewed Journal"
"165","AT","3","Journal Article"
"166","MT","3","Electronic"
"167","RD","3","20140818"
"168","AN","3","2014-28121-002"
"169","CP","3","The Author(s). 2013"
"170","UR","3","http://proxy.lib.umich.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-28121-002&site=ehost-live&scope=site"
"171","TI","4","Analysis of the validity scales in the Trauma Symptom Checklist for Children."
"172","PS","4","Publication Status: Fully Published"
"173","AU","4","Butcher, Fredrick"
"174","AU","4","Kretschmar, Jeff M."
"175","AU","4","Lin, Yingge"
"176","AU","4","Flannery, Daniel J."
"177","AU","4","Singer, Mark I."
"178","AF","4","Butcher, Fredrick, fredrick.w.butcher@case.edu, Begun Center for Violence Prevention Research & Education, Jack, Joseph and Morton Mandel School of Applied Social Sciences, Case Western Reserve University, Cleveland, OH, US"
"179","AF","4","Kretschmar, Jeff M., Begun Center for Violence Prevention Research & Education, Jack, Joseph and Morton Mandel School of Applied Social Sciences, Case Western Reserve University, Cleveland, OH, US"
"180","AF","4","Lin, Yingge, Begun Center for Violence Prevention Research & Education, Jack, Joseph and Morton Mandel School of Applied Social Sciences, Case Western Reserve University, Cleveland, OH, US"
"181","AF","4","Flannery, Daniel J., Begun Center for Violence Prevention Research & Education, Jack, Joseph and Morton Mandel School of Applied Social Sciences, Case Western Reserve University, Cleveland, OH, US"
"182","AF","4","Singer, Mark I., Begun Center for Violence Prevention Research & Education, Jack, Joseph and Morton Mandel School of Applied Social Sciences, Case Western Reserve University, Cleveland, OH, US"
"183","AD","4","Butcher, Fredrick, Begun Center for Violence Prevention Research & Education, Jack, Joseph and Morton Mandel School of Applied Social Sciences, Case Western Reserve University, 11402 Bellflower Road, Cleveland, OH, US, 44106, fredrick.w.butcher@case.edu"
"184","SO","4","Research on Social Work Practice"
"185","VI","4","24"
"186","IP","4","6"
"187","SD","4","Nov, 2014"
"188","YR","4","2014"
"189","PM","4","Nov, 2014"
"190","PG","4","695-704"
"191","PC","4","10"
"192","SP","4","695"
"193","PU","4","US : Sage Publications"
"194","PN","4","10"
"195","SN","4","1049-7315, Print"
"196","SN","4","1552-7581, Electronic"
"197","DO","4","10.1177/1049731513516803"
"198","LA","4","English"
"199","KP","4","trauma assessment"
"200","KP","4","trauma symptoms"
"201","KP","4","validity scales"
"202","SU","4","Psychometrics; Symptom Checklists; Test Reliability; Test Validity; Trauma"
"203","AB","4","Objective: Little empirical attention has been paid to the validity scales of the Trauma Symptom Checklist for Children (TSCC). The purpose of this study is to examine the prevalence of cases identified by the validity scales and its analytical impact. Methods: The current study compares regression models using data from two community samples (n = 3,724 and n = 2,245) and two samples of at-risk youth (n = 1,758 and n = 204). Using Chow tests to compare coefficients, we demonstrate the implications of removing cases identified by the TSCC validity scales. Results: The Underresponse (UND) scale identified 8% of the community sample and 20% of the at-risk sample. Chow tests revealed significant group differences based on the UND scale for all TSCC subscales. Conclusion: The present study demonstrates the analytical impact of the TSCC validity scales and provides statistical evidence for the removal of invalid cases. (PsycINFO Database Record (c) 2014 APA, all rights reserved) (journal abstract)"
"204","MJ","4","Psychometrics; Symptom Checklists; Test Reliability; Test Validity; Trauma"
"205","MN","4","At Risk Populations"
"206","CL","4","Clinical Psychological Testing (2224)"
"207","CL","4","Psychological Disorders (3210)"
"208","PO","4","Human (10)"
"209","PO","4","Male (30)"
"210","PO","4","Female (40)"
"211","LO","4","US"
"212","AG","4","Childhood (birth-12 yrs) (100)"
"213","AG","4","School Age (6-12 yrs) (180)"
"214","AG","4","Adolescence (13-17 yrs) (200)"
"215","TM","4","Recent Exposure to Violence Scale"
"216","TM","4","Underresponse Scale"
"217","TM","4","Trauma Symptom Checklist for Children DOI: 10.1037/t06631-000"
"218","MD","4","Empirical Study"
"219","MD","4","Interview"
"220","MD","4","Quantitative Study"
"221","PT","4","Journal"
"222","PT","4","Peer Reviewed Journal"
"223","AT","4","Journal Article"
